City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
145,Chapais,CA,2022-01-31 21:08:33,49.7834,-74.8492,-2.43,87,100,2.8,overcast clouds
146,Loandjili,CG,2022-01-31 21:10:34,-4.7561,11.8578,79.61,85,98,5.37,overcast clouds
147,Luderitz,NA,2022-01-31 21:10:35,-26.6481,15.1594,66.15,85,8,1.68,clear sky
148,Zhezkazgan,KZ,2022-01-31 21:10:05,47.8043,67.7144,0.34,99,96,5.21,overcast clouds
149,Roald,NO,2022-01-31 21:10:35,62.5833,6.1333,33.01,93,75,10.36,broken clouds
150,Constitucion,CL,2022-01-31 21:10:36,-35.3333,-72.4167,67.37,58,0,14.92,clear sky
151,Izhma,RU,2022-01-31 21:10:36,65.0083,53.9113,0.36,98,100,4.74,overcast clouds
152,Marechal Candido Rondon,BR,2022-01-31 21:10:36,-24.5561,-54.0567,79.79,57,64,3.04,broken clouds
153,Alice Springs,AU,2022-01-31 21:10:37,-23.7,133.8833,76.55,83,100,17.27,overcast clouds
154,Kungurtug,RU,2022-01-31 21:10:37,50.5994,97.5228,-20.92,98,42,1.57,scattered clouds
155,Nantucket,US,2022-01-31 21:06:37,41.2835,-70.0995,28.54,52,0,5.75,clear sky
156,Muisne,EC,2022-01-31 21:10:38,0.6,-80.0333,80.71,82,94,4.76,overcast clouds
157,Hithadhoo,MV,2022-01-31 21:10:38,-0.6,73.0833,82.4,72,32,9.35,scattered clouds
158,Bereda,ES,2022-01-31 21:10:39,43.2686,-7.5406,46.92,96,43,8.14,scattered clouds
159,Sinnamary,GF,2022-01-31 21:10:39,5.3833,-52.95,78.35,82,100,10.16,overcast clouds
160,Salalah,OM,2022-01-31 21:09:50,17.0151,54.0924,69.89,73,20,4.61,few clouds
161,Vao,NC,2022-01-31 21:10:40,-22.6667,167.4833,77.56,85,100,9.69,overcast clouds
162,Nacala,MZ,2022-01-31 21:10:40,-14.5428,40.6728,74.88,88,7,4.72,clear sky
163,Kamenka,RU,2022-01-31 21:10:41,51.3223,42.7678,32.76,94,100,18.88,light snow
164,Umm Lajj,SA,2022-01-31 21:10:41,25.0213,37.2685,61.57,53,5,12.15,clear sky
165,Mar Del Plata,AR,2022-01-31 21:08:51,-38.0023,-57.5575,68.02,49,0,11.99,clear sky
166,Carutapera,BR,2022-01-31 21:10:42,-1.195,-46.02,77.4,88,98,6.15,overcast clouds
167,Bonnyville,CA,2022-01-31 21:10:42,54.2668,-110.735,2.64,85,100,17.29,overcast clouds
168,Khatanga,RU,2022-01-31 21:10:42,71.9667,102.5,-28.03,100,63,2.66,broken clouds
169,Springbok,ZA,2022-01-31 21:10:43,-29.6643,17.8865,73.98,58,1,1.01,clear sky
170,Zhigansk,RU,2022-01-31 21:10:44,66.7697,123.3711,-31.09,99,87,7.9,overcast clouds
171,Chlorakas,CY,2022-01-31 21:10:44,34.8042,32.4083,45.63,89,40,6.91,scattered clouds
172,Lompoc,US,2022-01-31 21:10:44,34.6391,-120.4579,67.21,62,0,3.44,clear sky
173,Petropavlovsk-Kamchatskiy,RU,2022-01-31 21:10:45,53.0452,158.6483,27.19,59,75,24.61,light snow
174,Manta,EC,2022-01-31 21:10:45,-0.95,-80.7333,76.78,88,75,4.61,light rain
175,Tiksi,RU,2022-01-31 21:10:46,71.6872,128.8694,-11.43,99,100,6.82,overcast clouds
176,Brae,GB,2022-01-31 21:01:32,60.3964,-1.353,39.11,97,100,12.28,overcast clouds
177,Tigil,RU,2022-01-31 21:10:46,57.8,158.6667,8.98,85,4,9.06,clear sky
178,Oyama,JP,2022-01-31 21:10:47,36.3,139.8,39.58,44,0,2.93,clear sky
179,Sept-Iles,CA,2022-01-31 21:08:50,50.2001,-66.3821,10.06,52,65,10.0,broken clouds
180,Jiazi,CN,2022-01-31 21:10:47,22.8779,116.067,53.64,87,100,12.33,overcast clouds
181,Narsaq,GL,2022-01-31 21:08:00,60.9167,-46.05,26.82,95,100,9.75,snow
182,Belmonte,BR,2022-01-31 21:10:48,-15.8631,-38.8828,82.9,79,52,10.83,broken clouds
183,Souillac,MU,2022-01-31 21:11:48,-20.5167,57.5167,80.37,82,78,23.04,light rain
184,Viedma,AR,2022-01-31 21:10:25,-40.8135,-62.9967,79.93,15,44,11.68,scattered clouds
185,Muros,ES,2022-01-31 21:11:49,42.7762,-9.0603,52.09,73,10,15.55,clear sky
186,Sawakin,SD,2022-01-31 21:11:49,19.1059,37.3321,70.38,55,82,14.27,broken clouds
187,Halifax,CA,2022-01-31 21:09:06,44.6453,-63.5724,24.69,56,99,5.99,overcast clouds
188,Hami,CN,2022-01-31 21:11:50,42.8,93.45,21.29,37,0,3.11,clear sky
189,Qaanaaq,GL,2022-01-31 21:11:50,77.484,-69.3632,-21.33,44,0,7.9,clear sky
190,Troitskoye,RU,2022-01-31 21:11:51,52.9821,84.6757,12.16,97,100,4.16,overcast clouds
191,Brigantine,US,2022-01-31 21:11:51,39.4101,-74.3646,36.27,60,0,12.66,clear sky
192,Esperance,AU,2022-01-31 21:11:07,-33.8667,121.9,61.45,57,91,15.32,overcast clouds
193,Kohlu,PK,2022-01-31 21:11:52,29.8962,69.252,51.58,37,0,5.64,clear sky
194,Kleive,NO,2022-01-31 21:11:52,62.7954,7.6359,32.32,93,75,5.75,light snow
195,Tecoanapa,MX,2022-01-31 21:11:53,16.5167,-98.75,83.8,56,0,11.86,clear sky
196,Pisco,PE,2022-01-31 21:11:53,-13.7,-76.2167,75.25,64,0,21.85,clear sky
197,Flinders,AU,2022-01-31 21:05:52,-34.5833,150.8552,74.05,91,15,5.99,few clouds
198,Kalabo,ZM,2022-01-31 21:11:54,-14.97,22.6814,68.65,71,100,3.53,overcast clouds
199,Carnduff,CA,2022-01-31 21:11:54,49.1667,-101.8009,36.37,98,100,10.98,overcast clouds
200,Hilo,US,2022-01-31 21:11:55,19.7297,-155.09,80.33,58,20,6.91,few clouds
201,Mayo,US,2022-01-31 21:11:55,38.8876,-76.5119,38.41,57,0,5.99,clear sky
202,Chunskiy,RU,2022-01-31 21:11:55,56.0815,99.6342,-14.24,100,100,1.5,overcast clouds
203,Banff,CA,2022-01-31 21:07:08,51.1762,-115.5698,13.91,88,98,4.25,snow
204,Kaitangata,NZ,2022-01-31 21:11:56,-46.2817,169.8464,65.53,71,32,2.62,scattered clouds
205,Olafsvik,IS,2022-01-31 21:07:58,64.8945,-23.7142,32.59,91,81,8.5,snow
206,College,US,2022-01-31 21:11:57,64.8569,-147.8028,-6.77,72,0,0.0,clear sky
207,Seydisehir,TR,2022-01-31 21:11:57,37.4193,31.8453,23.58,97,82,3.85,broken clouds
208,Adrar,MR,2022-01-31 21:11:58,20.5022,-10.0711,76.87,13,100,10.89,overcast clouds
209,Nanortalik,GL,2022-01-31 21:11:58,60.1432,-45.2371,26.71,88,100,15.66,snow
210,Rocha,UY,2022-01-31 21:08:44,-34.4833,-54.3333,68.05,54,15,12.68,few clouds
211,Axim,GH,2022-01-31 21:08:01,4.8699,-2.2405,78.89,80,99,6.85,overcast clouds
212,Lubao,PH,2022-01-31 21:11:59,14.9167,120.55,77.14,83,48,7.52,scattered clouds
213,Conroe,US,2022-01-31 21:11:59,30.3119,-95.456,59.72,95,100,8.05,moderate rain
214,San Policarpo,PH,2022-01-31 21:12:00,12.1791,125.5072,78.31,83,83,8.7,broken clouds
215,Ostrovnoy,RU,2022-01-31 21:12:00,68.0531,39.5131,8.69,93,98,5.97,overcast clouds
216,Serenje,ZM,2022-01-31 21:12:01,-13.2325,30.2352,60.13,98,14,1.88,few clouds
217,Ust-Ilimsk,RU,2022-01-31 21:12:01,58.0006,102.6619,-1.53,99,100,2.01,overcast clouds
218,Maracaju,BR,2022-01-31 21:12:02,-21.6144,-55.1683,83.62,51,60,3.44,broken clouds
219,Batticaloa,LK,2022-01-31 21:12:02,7.7102,81.6924,79.2,69,100,9.19,overcast clouds
220,Labytnangi,RU,2022-01-31 21:12:03,66.6572,66.4183,-21.03,100,60,3.89,broken clouds
221,Upernavik,GL,2022-01-31 21:09:02,72.7868,-56.1549,-19.95,100,87,2.84,overcast clouds
222,Guangyuan,CN,2022-01-31 21:12:03,32.442,105.823,40.01,91,100,2.04,overcast clouds
223,Port Blair,IN,2022-01-31 21:12:04,11.6667,92.75,73.27,75,63,5.84,broken clouds
224,Buraydah,SA,2022-01-31 21:12:04,26.326,43.975,59.07,28,29,4.12,scattered clouds
225,Rapid Valley,US,2022-01-31 21:12:05,44.0625,-103.1463,54.72,30,100,3.0,overcast clouds
226,Okha,RU,2022-01-31 21:12:05,53.5739,142.9478,3.78,91,99,25.3,overcast clouds
227,Sitka,US,2022-01-31 21:13:06,57.0531,-135.33,35.49,80,100,3.44,light rain
228,Hovd,MN,2022-01-31 21:13:06,48.0056,91.6419,-13.38,80,17,2.01,few clouds
229,Pringsewu,ID,2022-01-31 21:13:06,-5.3582,104.9744,73.08,95,100,1.7,overcast clouds
230,Tabas,IR,2022-01-31 21:13:07,33.5959,56.9244,48.45,25,93,2.75,overcast clouds
231,Burkburnett,US,2022-01-31 21:13:07,34.0979,-98.5706,72.32,33,20,4.0,few clouds
232,Russell,US,2022-01-31 21:10:02,32.3502,-85.1999,66.96,28,0,5.75,clear sky
233,Rio Das Ostras,BR,2022-01-31 21:13:08,-22.5269,-41.945,80.53,90,100,3.8,light rain
234,Panjab,AF,2022-01-31 21:13:08,34.388,67.0233,-7.69,75,2,4.38,clear sky
235,Itacare,BR,2022-01-31 21:13:09,-14.2775,-38.9967,80.19,81,5,6.85,clear sky
236,Walvis Bay,NA,2022-01-31 21:13:09,-22.9575,14.5053,70.09,79,100,7.25,overcast clouds
237,Xinyang,CN,2022-01-31 21:13:09,32.1228,114.0656,33.04,62,100,4.88,light snow
238,San Joaquin,US,2022-01-31 21:13:10,37.9333,-121.3011,63.99,61,0,9.22,clear sky
239,Pathein,MM,2022-01-31 21:13:10,16.7833,94.7333,62.67,68,87,4.45,overcast clouds
240,Chilca,PE,2022-01-31 21:13:11,-12.5211,-76.7372,78.96,77,25,7.4,scattered clouds
241,Trairi,BR,2022-01-31 21:13:11,-3.2778,-39.2689,80.01,77,40,12.19,scattered clouds
242,Batagay,RU,2022-01-31 21:13:11,67.6333,134.6333,-28.19,98,100,1.16,overcast clouds
243,Voznesenye,RU,2022-01-31 21:13:12,61.0106,35.4781,18.23,94,100,7.92,overcast clouds
244,Presidencia Roque Saenz Pena,AR,2022-01-31 21:13:12,-26.7852,-60.4388,103.75,8,52,9.91,broken clouds
245,Stornoway,GB,2022-01-31 21:13:13,58.2093,-6.3865,48.16,94,100,7.0,overcast clouds
246,Zhongxing,CN,2022-01-31 21:13:13,33.7039,118.6792,30.99,36,99,6.22,overcast clouds
247,Olinda,BR,2022-01-31 21:13:14,-8.0089,-34.8553,82.13,74,40,6.91,scattered clouds
248,Paro,BT,2022-01-31 21:13:14,27.4305,89.4133,32.49,94,100,0.89,light snow
249,Corinto,GR,2022-01-31 21:05:56,37.9407,22.9573,54.68,79,100,2.95,overcast clouds
250,Pevek,RU,2022-01-31 21:13:15,69.7008,170.3133,-16.67,96,100,0.11,overcast clouds
251,Heilbron,ZA,2022-01-31 21:13:15,-27.2812,27.9709,68.38,62,100,2.21,overcast clouds
252,Kodiak,US,2022-01-31 21:13:16,57.79,-152.4072,26.11,80,100,0.0,overcast clouds
253,Kochi,IN,2022-01-31 21:08:30,9.9399,76.2602,76.98,82,1,5.66,clear sky
